Global cluster,OCHA_Code,Sub-domain,Indicator,Indicator_Local,Unit of Measurement,Denominator,Disaggregation,Indicator used for response monitoring?,Key indicator,Numerator,Sectoral objective,Standards,Strategic objective,Standards,Indicator_Types,Unit_Description,
Nutrition,N-007,N1 Prevention and Management of Acute Malnutrition,Childhood stunting,,Individual,Total number of children 0 to 59 months of age surveyed,"Geographical area, age, sex",Yes,Yes,Number of children 0 to 59 months of age that meet the criteria for stunting,,,,"WHO TRS 854. Severity classification: 20,30,40 %","Baseline, Outcome",Percentage,
Nutrition,N-008,N1 Prevention and Management of Acute Malnutrition,Acute malnutrition based on MUAC and oedema,,Individual,Total number of children aged  6-59 months surveyed,"Geographical area, age, sex",Yes,Yes,Number of children aged 6-59 months that meet the criteria for wasting based on MUAC,,,,"WHO child growth standards and the identification of severe acute malnutrition in infants and children. A Joint Statement by the World Health Organization and the United Nations Children's Fund, 2009.","Baseline, Outcome",Percentage,
Nutrition,N-009,N1 Prevention and Management of Acute Malnutrition,Severe acute malnutrition based on  MUAC and oedema,,Individual,Total number of children aged  6-59 months surveyed,"Geographical area, age, sex",Yes,Yes,Number of children aged 6-59 months that meet the criteria for severe wasting based on MUAC,,,,"WHO child growth standards and the identification of severe acute malnutrition in infants and children. A Joint Statement by the World Health Organization and the United Nations Children's Fund, 2009.","Baseline, Outcome",Percentage,
Nutrition,N-010,N1 Prevention and Management of Acute Malnutrition,Moderate acute malnutrition based on MUAC,,Individual,Total number of children aged  6-59 months surveyed,"Geographical area, age, sex",Yes,Yes,Number of children aged 6-59 months that meet the criteria for moderate wasting based on MUAC,,"Sphere: Appendix 4: Measuring acute malnutrition, SPHERE Food security and nutrition chapter, Sphere: Management of acute malnutrition and micro-nutrient deficiencies standard 1: Moderate acute malnutrition",,,"Baseline, Outcome",Percentage,
Nutrition,N-011,N1 Prevention and Management of Acute Malnutrition,Acute malnutrition in Pregnant and Lactating Women,,Individual,Total number of Pregnant and Lactating Women with infants below age of 0 to 5 months surveyed,Geographical area,Yes,Yes,Number of Pregnant and Lactating Women with infants 0-5 months that meet the criteria for acute malnutrition based on MUAC,,"Sphere: Appendix 4: Measuring acute malnutrition, SPHERE Food security and nutrition chapter",,,"Baseline, Outcome",Percentage,
Nutrition,N-012,N1 Prevention and Management of Acute Malnutrition,Stunting in women of reproductive age,,Individual,Total number of women 15-49 years surveyed,Geographical area,Yes,No,Number of women 15-49 years that meet the criteria for stunting,,,,,"Baseline, Outcome",Percentage,
Nutrition,N-013,N1 Prevention and Management of Acute Malnutrition,Undernutrition for adults,,Individual,Total number of adults aged 19.1 to 59.9 years old surveyed,"Geographical area, age, sex",Yes,No,Number of adults aged 19.1 to 59.9 years old  that meet the criteria for undernutrition,,,,"WHO TRS 854 classification: mild thinness (BMI = 17.00-18.49 kg/m2), moderate thinness  (BMI = 16.00-16.99 kg/m2), and severe thinness  (BMI < 16.00 kg/m2).","Baseline, Outcome",Percentage,
Nutrition,N-014,N1 Prevention and Management of Acute Malnutrition,Undernutrition for 5 to 19 year olds,,Individual,Total number of children and adolescents 5-19 years surveyed,"Geographical area, sex",Yes,No,Number of children  and adolescents 5-19 years that meet the criteria for undernutrition,,"Sphere: Appendix 4: Measuring acute malnutrition, SPHERE Food security and nutrition chapter",,WHO Reference 2007 www.who.int/growthref.,"Baseline, Outcome",Percentage,
Nutrition,N-015,N1 Prevention and Management of Acute Malnutrition,Acute malnutrition for older people,,Individual,Total number of older people surveyed,"Geographical area, sex: in preparatory, Phase III and IV, disaggregate by severity (",Yes,Yes,Number of older people that meet the criteria for acute malnutrition,,Help Age guidelines 2013,,MUAC >210mm: no malnutrition;                                       MAM: MUAC,"Baseline, Outcome",Percentage,
Nutrition,N-016,N1 Prevention and Management of Acute Malnutrition,Minimum meal frequency  for children 24-59  months,,Individual,Total number of children 24-59 months surveyed,"Geographical area, age, sex",No,No,Number of  children 24-59 months  who are eating 3 meals a day or more,,,,,Baseline,Percentage,
Nutrition,N-018,N3 Prevention and Control of Micronutrients Deficiencies,Minimum dietary diversity for children 24-59  months,,Individual,Total number of children 24-59 months surveyed,"Geographical area, age, sex",No,No,Number of children 24-59 months who receive from 4 or more of the following food groups.,,"Food Security and Nutrition 4.1.1, Sphere: Food security - food transfers standard 1: General nutrition requirements",,"No standard identified, only WHO source indicator",Baseline,Percentage,
Nutrition,N-019,N3 Prevention and Control of Micronutrients Deficiencies,"Level of risk to common micronutrient deficiencies (high, medium, low)",,Community,N/A,"By deficiency; geographical area, sex, potentially vulnerable groups: PLW, children 6-59 months, other potentially vulnerable groups",No,Yes,N/A,,"Sphere: Food security and nutrition, Appendix 5: Measures of the public health significance of micronutrient deficiencies",,"SPHERE 2011, appendix 5 - thresholds (http://www.spherehandbook.org/en/appendix-15/)",Baseline,"high, medium, low",
Nutrition,N-020,N3 Prevention and Control of Micronutrients Deficiencies,Vitamin A coverage in children 6--59 months,,Individual,Total number of children 6-59 months surveyed,"Geographical area, age (6-11, 12-23 months), sex",Yes,Yes,Number of children 6 - 59 months that received vitamin A in the previous 6 months (mother's recall or card verified),,"Health Action 2.2.1, Sphere: Essential health services – child health standard 1: Prevention of vaccine-preventable diseases (Key indicator 1)",,Target: 95%. Upon completion of measles vaccination campaign  at least 95 per cent of children aged 6–59 months have received an appropriate dose of Vitamin A,"Baseline, Output",Percentage,
Nutrition,N-021,N3 Prevention and Control of Micronutrients Deficiencies,Iron supplementation coverage rate in children,,Individual,Total number of children 6-59 months surveyed,"Geographical area, age (6-24,  24-59 months), sex",Yes,No,Number of children 6-59 months who received micronutrient supplements with adequate iron in/with one of their meals the previous day,,"Food Security and Nutrition 4.1.1, Sphere: Food security and nutrition, Appendix 5: Measures of the public health significance of micronutrient deficiencies",,,"Baseline, Output",Percentage,
Nutrition,N-022,N3 Prevention and Control of Micronutrients Deficiencies,Iron-folic acid supplementation in pregnant women,,Individual,Total number of pregnant women surveyed,Geographical area,Yes,Yes,Number of pregnant women who bought or received iron-folic acid contained supplementation daily in the previous 6 months during pregnancy,,"Sphere: Infant and young child feeding standard 2: basic and skilled support (GN 2), Sphere: Management of acute malnutrition and micro nutrient deficiencies standard 1: Moderate acute malnutrition (GN 6 and 7)",,,"Baseline, Output",Percentage,
Nutrition,N-023,N3 Prevention and Control of Micronutrients Deficiencies,Iodized salt consumption,,Households,Total number of households surveyed,Geographical area,Yes,No,Number of households using adequately iodized salt (20-40 ppm) in previous 6 months,,"Sphere: Food security and nutrition, Appendix 5: Measures of the public health significance of micronutrient deficiencies, Sphere: Food security and nutrition assessment standard 2: Nutrition",,Indicator should be equal to or greater than 90Proportion of(reference?) -Number of households using adequately iodized salt (20-40 ppm) in previous 6 months,"Baseline, Output",Percentage,
Nutrition,N-024,N3 Prevention and Control of Micronutrients Deficiencies,Prevalence rate of vitamin A deficiency,,Individual,Total number of children below five years of age surveyed or Total number of women of reproductive age surveyed,"Geographical area, boys and girls 0-59 months, women of reproductive age",No,Yes,Number of children below five years of age with vitamin A deficiency (serum retinol values,,Food Security and Nutrition 4.1.1,,Public Health Significance:  20Proportion of High (ref:  WHO 1996),Baseline,Percentage,
